Unnamed: 0,Job_Role,Android,Angular,AWS,Azure,Blockchain,Bootstrap,C#,C++,Confluence,CSS,CSS3,Data Science,DigitalOcean,Django,Docker,Ethereum,Git,Google Cloud Platform,GraphQL,Heroku,HTML,HTML5,iOS,Java,JavaScript,Jira,Kubernetes,LESS,Machine Learning,MERN Stack,MongoDB,Node.js,PHP,Python,PyTorch,React,RESTful API,Ruby,R,Sass,Solidity,Spring Framework,SQL,Swift,TensorFlow,TypeScript,Unity,Vue.js
127,Cybersecurity Engineer,2,3,3,2,0,0,3,2,0,2,3,2,2,2,3,3,3,3,2,2,3,2,2,3,3,2,2,3,2,3,3,0,2,2,3,3,3,2,3,3,3,2,2,2,3,3,3,0
128,QA Manager,0,2,2,2,3,2,2,0,2,2,2,0,2,2,2,2,3,3,0,2,3,2,3,2,2,2,3,3,3,2,2,3,2,3,3,2,3,3,2,3,3,3,3,3,3,2,3,0
129,Platform Engineer,0,3,3,3,2,0,3,0,3,3,2,2,2,3,3,3,3,3,3,3,3,3,3,2,3,3,3,2,3,3,0,3,3,3,3,0,3,3,3,3,3,2,3,2,3,3,3,3
130,Computer Vision Engineer,0,3,2,0,3,0,3,2,3,3,2,3,3,2,3,2,3,2,3,3,2,2,0,3,2,3,0,3,3,2,3,2,2,3,2,3,3,3,2,2,3,3,2,3,2,3,3,2
131,Backend Developer,3,3,2,3,2,3,3,0,2,0,3,2,0,3,2,2,3,0,3,2,2,3,3,3,2,2,3,3,3,2,2,2,3,3,2,3,3,0,3,3,3,3,3,3,2,2,2,3
132,UX Architect,2,2,2,3,3,3,3,2,2,0,3,2,3,2,0,0,3,3,2,2,3,2,2,2,3,2,2,3,0,3,2,2,2,3,3,3,2,3,3,0,2,3,2,3,2,3,3,2
133,Frontend Development Lead,2,3,3,3,0,3,0,3,2,3,3,0,2,3,3,3,3,3,3,3,3,3,2,3,3,3,3,0,3,3,3,3,2,3,0,3,2,2,3,3,2,2,3,2,2,2,3,3
134,Engineering Director,3,3,2,3,0,3,2,0,3,3,3,3,3,3,0,2,3,3,2,0,2,2,3,2,0,3,3,2,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,3,2,2,3,2
135,Embedded Systems Engineer,2,3,3,2,3,2,2,2,2,3,3,3,3,0,3,2,3,3,3,0,2,3,0,2,0,2,3,3,2,3,3,2,2,2,3,0,3,3,2,3,2,2,3,2,2,3,2,2
136,Frontend Architect,3,2,2,3,3,3,3,0,0,3,3,3,0,2,3,0,3,3,3,2,3,3,3,2,3,3,2,0,2,2,3,2,3,2,3,3,2,2,2,3,2,3,2,3,3,2,2,3
137,Data Product Manager,2,3,3,3,2,2,2,3,3,0,2,0,3,2,3,3,3,3,2,3,2,2,2,2,3,3,3,3,2,3,3,3,0,3,2,2,3,0,2,2,3,3,2,3,2,3,0,2
138,UX Lead,2,0,2,3,0,3,3,3,0,3,2,2,3,2,3,3,3,3,2,2,3,2,0,3,2,2,2,3,0,2,2,3,3,2,2,2,3,2,3,2,3,2,2,2,3,3,2,3
139,Backend Development Manager,2,3,2,2,2,2,3,0,3,2,3,2,3,3,2,2,3,0,2,3,3,0,3,3,2,2,2,2,2,3,2,2,3,3,2,3,3,2,0,2,3,2,3,0,3,2,3,3
140,Embedded Software Engineer,2,3,0,2,2,3,3,3,2,3,0,3,2,2,2,3,3,3,2,2,0,3,2,2,3,2,2,3,3,3,2,0,0,2,3,2,3,3,3,2,2,2,3,3,2,3,2,2
141,Backend Developer,3,3,3,2,2,2,2,0,2,0,2,3,0,3,2,2,3,0,3,3,3,3,3,3,2,2,2,2,3,2,3,3,2,3,3,2,2,0,2,3,3,3,3,3,3,3,2,2
142,Software Development Manager,0,2,2,3,2,2,3,2,3,2,2,2,2,3,3,2,3,3,3,3,2,0,3,3,3,0,2,3,2,0,2,2,3,3,3,2,2,2,2,2,3,2,2,3,3,2,2,0
143,Software Developer,2,2,0,2,0,0,3,2,3,3,3,3,2,3,0,3,3,3,0,3,2,2,2,3,3,3,2,3,2,3,3,2,3,3,2,2,2,3,3,3,3,2,2,2,3,3,3,3
144,UI Architect,3,2,2,2,3,3,3,3,2,3,3,3,0,3,3,0,3,0,2,3,3,2,3,3,3,0,3,3,2,2,3,0,2,3,2,3,3,3,2,3,2,2,3,3,2,2,2,3
145,Web Developer,3,3,0,2,3,2,0,2,2,3,2,0,3,3,0,3,3,3,2,2,3,3,3,3,3,2,2,3,2,2,3,3,3,2,2,3,3,2,2,2,3,2,3,3,2,0,3,2
146,UI Development Lead,0,2,3,3,0,3,3,2,2,3,3,2,2,2,3,3,3,3,2,2,3,0,3,2,3,2,2,0,0,3,3,2,2,2,3,3,3,3,3,3,2,3,2,3,2,3,3,3
147,Backend Development Lead,2,3,3,3,3,3,2,3,3,0,3,2,2,3,3,2,3,3,0,2,3,0,0,3,3,2,2,3,3,3,2,2,3,3,2,3,2,3,2,3,2,2,3,2,3,0,2,3
148,AI Product Manager,0,2,3,3,3,0,3,3,3,3,2,0,3,2,3,2,3,0,2,3,2,3,2,3,3,2,3,3,2,2,3,3,3,0,3,3,2,2,3,3,3,2,3,2,3,3,2,3
149,Release Manager,2,3,2,2,0,3,3,0,2,3,2,3,0,2,2,2,3,2,3,2,2,3,3,2,2,3,2,3,2,0,2,3,0,3,3,2,3,3,2,3,2,3,3,2,3,3,3,2
150,SRE (Site Reliability Engineer),3,0,3,2,3,3,0,2,2,2,2,3,2,3,3,3,3,3,3,2,2,3,3,3,2,3,3,3,3,3,3,2,3,3,2,0,3,3,3,3,3,0,2,3,3,3,0,3
151,Data Engineering Manager,3,0,2,3,3,3,0,3,3,2,0,2,2,3,3,2,3,3,3,3,3,3,2,2,3,2,2,3,0,2,2,0,2,3,2,2,3,3,3,3,3,2,3,3,3,2,2,2
152,Frontend Architect,3,2,2,2,2,3,3,0,0,3,2,2,0,2,3,0,3,2,3,3,3,2,3,2,3,2,2,0,2,2,2,2,2,2,2,3,2,3,2,3,2,2,2,3,2,3,3,3
153,UI Developer,2,2,2,3,3,3,3,2,3,3,3,2,3,3,2,0,3,0,2,3,3,0,3,2,3,0,3,3,0,3,2,2,3,2,3,3,2,2,3,2,2,2,2,2,2,3,2,2
154,Cybersecurity Engineer,2,2,3,3,0,0,2,2,0,2,2,3,2,2,3,2,3,3,3,3,3,2,2,2,3,3,2,2,2,3,2,0,3,3,3,3,2,2,2,2,2,3,3,2,2,3,2,0
155,Software Engineer,0,3,0,2,3,0,2,3,3,3,2,0,2,2,3,2,3,2,3,3,3,2,3,3,3,3,3,2,2,2,2,3,2,3,2,3,3,3,2,3,2,0,3,3,2,2,3,2
156,UI Developer,2,2,2,3,3,2,2,3,3,3,3,2,2,3,2,0,3,0,2,3,3,0,3,3,3,0,2,3,0,3,2,3,3,3,2,3,3,3,3,3,3,3,2,2,2,3,2,3
157,Game Developer,0,2,2,0,3,3,3,3,0,3,3,2,3,3,2,2,3,2,2,3,2,2,3,2,3,3,2,0,2,3,2,3,2,3,2,2,2,2,2,3,2,2,3,2,3,2,3,0
158,Project Manager,2,2,3,3,3,0,3,0,3,3,3,3,3,0,2,2,3,3,2,2,2,3,3,3,3,2,0,2,2,2,3,2,3,3,2,3,2,3,3,3,0,2,2,3,3,3,2,2
159,Quality Assurance Engineer,3,2,2,0,0,3,2,2,2,3,0,3,2,3,0,2,3,3,3,3,2,3,3,2,3,2,2,3,3,3,3,0,2,2,2,3,3,3,3,3,2,3,3,3,2,2,3,3
160,Product Owner,3,2,2,2,3,3,3,2,3,2,0,3,2,2,3,3,3,0,2,3,2,3,3,3,2,3,0,3,3,0,3,2,3,2,3,2,3,0,2,2,2,2,2,3,3,3,2,2
161,Network Administrator,0,0,0,2,3,2,2,3,2,3,2,3,2,3,2,3,3,3,2,2,2,3,2,3,3,2,3,3,2,3,0,3,3,3,2,2,3,2,2,3,3,2,2,3,3,0,2,2
162,UX Designer,2,3,3,2,3,2,2,3,2,0,2,2,2,2,2,3,3,2,3,0,3,2,2,2,2,2,0,3,3,3,0,3,3,2,2,2,2,3,3,0,3,3,2,3,2,3,2,2
163,Product Development Manager,2,0,3,3,3,0,2,3,3,3,3,3,3,0,2,3,3,2,0,3,3,2,3,2,2,3,0,3,2,2,3,2,3,3,2,3,2,2,3,2,3,2,3,2,3,2,3,3
164,QA Automation Engineer,0,0,3,2,2,2,2,3,3,3,2,3,2,3,2,2,3,3,2,2,2,3,2,3,2,2,0,3,2,2,2,0,3,3,2,2,3,3,3,2,2,3,0,3,3,2,2,2
165,Software Developer,2,3,0,3,0,0,3,3,3,2,2,3,2,2,0,2,3,2,0,2,3,3,2,3,3,3,2,2,3,3,2,2,2,3,2,2,2,2,2,2,2,3,3,2,2,3,2,3
166,Frontend Development Lead,2,3,3,3,0,2,0,2,3,3,2,0,3,2,3,3,3,3,2,3,3,3,2,2,3,3,3,0,2,2,3,3,3,3,0,3,2,2,3,2,3,2,3,3,2,2,2,2
167,Frontend Development Manager,2,3,2,0,2,2,0,3,3,3,2,3,3,2,3,3,3,3,3,3,3,2,2,3,3,2,0,3,2,3,3,2,2,0,3,3,3,3,0,2,2,3,3,2,3,2,2,3
168,DevOps Engineer,2,0,3,0,3,3,3,3,3,2,0,3,0,2,3,0,3,3,3,2,3,3,2,3,3,3,3,2,2,3,2,2,3,3,2,3,3,2,2,2,3,2,3,2,3,2,3,3
169,Backend Engineer,3,2,3,2,2,3,3,0,2,3,0,3,2,3,3,3,3,3,0,3,2,2,3,3,0,2,2,3,2,2,3,3,3,3,2,2,3,2,3,2,3,3,2,3,0,3,2,3
170,Backend Architect,0,3,0,3,3,2,3,2,3,0,2,3,2,3,2,2,3,3,3,3,3,2,2,3,3,2,3,3,2,2,2,2,3,3,3,3,2,3,3,3,3,3,2,2,0,3,3,0
171,UI Developer,3,3,3,3,2,3,2,3,2,3,2,2,3,3,3,0,3,0,3,2,3,0,2,3,3,0,3,3,0,2,2,3,3,2,2,3,3,3,2,2,2,3,2,2,2,3,3,2
172,AI Engineering Manager,0,2,3,2,3,3,2,2,0,3,0,3,3,3,3,3,3,3,3,2,3,2,2,0,2,3,3,3,3,2,0,2,3,3,3,3,2,2,2,3,3,2,2,3,3,3,3,2
173,Engineering Director,2,3,3,2,0,3,2,0,3,2,3,3,2,3,0,3,3,2,3,0,2,2,3,2,0,3,3,2,2,3,2,2,3,3,2,2,3,3,2,2,2,2,2,3,3,3,2,2
174,Cybersecurity Analyst,2,0,3,0,3,0,2,3,3,3,3,2,3,3,3,3,3,3,3,3,0,0,2,2,3,2,3,3,3,2,3,2,2,2,3,2,2,3,2,3,2,3,3,3,2,2,3,2
175,Engineering Director,2,3,3,3,0,2,3,0,3,3,2,3,2,2,0,3,3,3,2,0,2,3,3,3,0,3,3,3,2,3,3,2,3,3,2,3,2,2,2,2,3,3,2,2,2,2,2,3
176,Backend Development Lead,2,2,3,2,3,3,3,3,2,0,3,2,3,3,3,2,3,3,0,3,3,0,0,3,3,3,2,2,2,3,3,2,2,3,3,2,3,2,2,3,3,2,3,3,3,0,3,3
177,Engineering Director,2,3,3,2,0,2,2,0,3,3,3,2,2,2,0,2,3,2,3,0,3,2,3,3,0,2,3,2,2,2,2,2,3,3,2,2,2,2,3,3,3,3,2,3,3,3,2,2
178,Computer Vision Engineer,0,2,3,0,3,0,3,3,2,2,3,2,2,3,2,3,3,3,2,2,3,2,0,3,3,3,0,3,3,3,3,2,3,3,2,3,2,3,3,2,2,3,2,2,2,3,2,2
179,Computer Vision Engineer,0,3,3,0,3,0,3,3,3,3,2,3,2,2,3,2,3,2,3,2,3,3,0,2,2,2,0,2,2,2,2,3,2,3,2,3,2,3,2,3,2,2,3,3,2,3,3,2
180,Backend Architect,0,3,0,2,3,3,2,3,3,0,2,3,2,3,2,3,3,3,3,3,2,3,2,3,2,3,3,3,2,3,3,3,3,3,3,2,3,3,2,2,3,2,3,3,0,3,3,0
181,Enterprise Architect,2,2,3,3,0,3,3,0,3,3,3,3,3,3,3,2,3,0,2,3,3,3,2,2,2,3,3,3,2,2,2,3,2,0,2,2,3,2,2,3,2,3,2,3,2,3,2,0
182,Network Security Engineer,3,0,2,3,2,2,2,0,3,3,2,0,2,3,3,3,3,2,3,2,3,2,3,2,3,3,2,0,3,2,3,2,2,3,2,3,0,2,2,3,3,3,2,3,2,2,2,3
183,Data Engineering Lead,2,3,3,3,2,2,3,2,2,0,3,2,2,0,3,0,3,2,2,3,3,3,2,0,2,3,3,3,3,2,2,2,2,3,3,3,3,3,3,3,2,2,3,3,3,0,3,3
184,Software Development Manager,0,3,3,2,2,3,3,3,3,3,3,3,3,3,2,2,3,3,2,2,3,0,2,3,2,0,2,2,2,0,2,3,3,2,3,3,2,2,2,2,2,2,2,2,3,3,3,0
185,Data Architect,2,3,3,2,3,2,3,2,0,0,2,2,2,2,2,3,3,3,3,2,2,2,3,3,2,2,3,0,3,3,2,2,2,2,3,3,2,2,3,3,3,3,3,3,0,2,2,0
186,UI Development Lead,0,2,2,2,0,2,2,3,3,3,3,3,3,3,3,2,3,3,3,3,3,0,3,3,3,3,2,0,0,2,3,2,2,2,3,3,3,3,3,2,2,3,2,2,2,3,3,3
187,Data Architect,3,3,3,3,2,3,2,3,0,0,2,3,2,3,2,2,3,3,2,2,3,2,2,3,2,3,2,0,2,3,2,2,2,3,3,2,3,2,3,3,2,3,3,2,0,2,3,0
188,Data Warehouse Architect,0,3,3,3,2,3,3,2,2,3,2,3,2,0,3,3,3,2,2,2,0,3,2,2,2,0,2,2,0,3,2,2,3,3,3,3,3,3,3,2,3,2,3,3,2,2,3,2
189,UI Architect,2,2,3,2,2,3,2,3,2,3,2,3,0,2,2,0,3,0,3,3,3,2,3,2,3,0,3,3,3,2,3,0,2,3,2,3,3,3,3,3,3,3,3,2,2,2,2,3
190,Business Analyst,3,3,2,3,2,0,3,0,3,2,2,2,3,3,3,0,3,3,2,2,3,3,2,2,3,3,3,2,3,2,3,2,3,3,2,3,2,0,2,0,2,3,3,2,2,3,2,3
191,Backend Developer,2,2,3,3,3,3,3,0,2,0,2,3,0,3,2,3,3,0,3,2,2,3,3,3,2,2,3,3,3,3,2,2,3,3,3,2,3,0,3,3,2,3,3,2,3,3,2,2
192,Cybersecurity Engineer,3,2,3,3,0,0,2,2,0,2,2,2,2,3,2,3,3,3,2,2,3,2,2,3,3,3,3,2,2,3,2,0,2,3,2,3,3,3,2,2,2,3,3,2,3,3,3,0
193,Release Manager,3,2,3,3,0,2,2,0,3,3,3,2,0,3,2,3,3,3,2,2,2,3,2,3,2,2,2,3,3,0,2,3,0,2,3,2,2,2,3,2,3,2,2,3,2,2,3,2
194,QA Lead,3,2,2,2,3,2,3,0,2,2,3,2,2,3,2,0,3,3,3,3,3,2,3,2,3,2,3,2,0,2,2,2,3,2,2,2,0,3,2,2,3,3,3,0,3,2,2,2
195,Software Engineer,0,2,0,2,3,0,3,3,2,3,3,0,2,3,3,2,3,3,3,2,3,2,2,3,3,2,3,3,3,3,3,3,2,3,3,3,3,2,3,2,3,0,3,2,2,2,3,3
196,Network Engineer,0,2,3,2,3,3,3,0,3,3,2,0,0,2,3,3,3,2,2,3,3,2,3,3,3,3,2,2,3,2,2,3,3,3,0,3,2,3,2,2,3,3,3,3,2,2,3,2
197,Full Stack Developer,3,3,3,3,2,3,3,3,0,3,2,0,2,3,3,3,3,3,0,3,3,3,3,0,3,3,3,2,3,3,3,3,3,3,0,3,2,3,2,2,2,3,3,3,2,3,3,3
198,Computer Vision Engineer,0,3,2,0,2,0,2,2,2,2,2,3,3,3,2,2,3,3,2,2,3,2,0,2,3,3,0,3,3,2,3,2,2,3,3,2,2,3,3,3,2,3,2,3,3,3,3,3
199,Platform Engineer,0,2,3,3,2,0,2,0,3,2,2,3,3,3,3,3,3,3,2,2,2,2,2,2,3,3,3,3,2,3,0,3,2,2,3,0,2,2,2,3,3,2,3,2,3,2,3,2
200,Backend Developer,2,2,2,3,2,3,2,0,2,0,3,2,0,3,3,3,3,0,2,2,3,3,3,3,3,3,3,3,3,2,2,3,3,3,2,2,2,0,2,3,3,3,3,3,3,3,3,2
201,SRE (Site Reliability Engineer),2,0,2,2,3,2,0,2,3,2,3,3,2,2,3,3,3,2,3,3,2,2,3,2,3,2,3,3,3,3,2,3,3,2,2,0,3,3,3,2,2,0,3,2,3,3,0,3
202,IT Manager,3,3,2,0,2,3,3,2,3,3,2,3,3,0,3,2,3,0,2,2,3,3,3,3,3,2,3,3,3,2,2,2,3,0,3,3,2,2,2,2,2,2,2,0,3,2,3,2
203,Quality Assurance Engineer,2,3,2,0,0,2,3,3,2,3,0,3,2,3,0,2,3,3,3,2,3,2,2,2,3,3,3,3,2,2,2,0,3,3,2,3,3,2,2,2,2,3,3,3,2,2,3,3
204,Frontend Architect,3,3,2,3,2,2,2,0,0,3,3,3,0,2,3,0,3,2,2,3,3,2,3,2,3,3,2,0,3,3,2,3,2,2,2,3,2,2,2,2,3,2,3,2,2,3,2,3
205,Software Engineer,0,2,0,2,3,0,3,2,3,3,3,0,2,3,3,2,3,2,3,3,3,2,2,3,3,2,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3,2,3,3,2
206,Database Administrator,2,2,0,3,3,2,3,3,2,3,2,3,2,3,3,3,2,2,0,3,3,2,3,2,2,3,0,0,2,3,3,2,2,2,3,2,2,3,3,3,0,2,3,3,3,3,3,2
207,Data Product Manager,2,3,2,3,2,3,3,3,2,0,3,0,2,2,3,2,3,3,3,2,3,3,2,2,3,3,2,2,3,3,2,3,0,3,2,3,3,0,2,3,2,3,3,3,3,3,0,3
208,Game Developer,0,3,3,0,2,3,3,2,0,2,2,2,2,3,2,2,3,3,2,2,3,3,2,3,3,2,2,0,3,3,2,3,3,2,2,3,3,2,2,2,2,3,3,3,3,2,3,0
209,System Administrator,3,2,2,3,0,0,2,3,3,3,3,2,2,3,3,2,3,3,2,3,3,2,3,2,2,3,3,3,2,0,2,3,3,0,0,3,2,2,3,3,2,3,3,2,2,2,2,2
210,Backend Development Manager,3,2,3,3,3,3,2,0,2,3,2,3,3,3,2,3,3,0,2,3,3,0,3,3,3,2,3,2,2,3,3,3,2,3,2,2,3,2,0,2,3,2,3,0,2,2,2,3
211,Product Manager,2,3,2,3,3,2,3,0,2,3,0,2,3,3,3,2,3,3,3,2,3,2,2,3,2,2,2,2,3,2,0,2,2,3,3,3,3,3,3,3,3,3,0,3,0,2,2,3
212,UX Lead,2,0,3,2,0,2,3,2,0,2,3,2,2,3,3,3,3,3,3,3,2,2,0,3,2,2,2,2,0,2,2,3,3,2,2,2,2,2,2,3,2,2,3,3,2,2,2,2
213,Backend Engineer,3,3,3,3,3,3,2,0,3,2,0,2,3,3,2,2,3,3,0,3,3,2,3,3,0,2,3,2,3,3,2,3,2,3,2,2,2,3,3,3,2,3,3,3,0,3,3,2
214,Data Engineering Manager,2,0,3,3,3,3,0,3,2,2,0,2,2,2,2,2,3,3,3,3,3,2,2,3,2,3,3,3,0,2,3,0,3,3,2,3,3,2,3,2,2,3,3,3,3,2,2,2
215,Data Science Manager,0,3,3,3,0,2,2,0,2,3,3,3,2,2,3,2,3,3,2,3,2,2,0,3,0,2,3,3,2,3,3,3,2,3,3,3,3,3,2,3,2,3,3,3,3,2,2,2
216,QA Automation Engineer,0,0,2,3,3,3,3,2,3,3,3,3,2,2,2,3,3,2,3,3,2,3,3,3,2,2,0,3,3,3,2,0,2,3,3,2,2,2,2,2,3,3,0,3,2,3,3,2
217,Data Modeler,2,2,3,3,2,3,2,3,2,2,0,3,3,3,2,3,3,2,3,0,2,0,3,2,2,3,2,3,2,0,2,3,2,0,2,3,3,2,3,2,2,3,3,3,3,2,3,2
218,iOS Developer,0,2,3,3,2,0,3,3,2,2,3,2,3,3,3,2,3,3,3,2,3,3,3,3,2,2,3,2,2,3,2,0,3,2,3,2,0,2,2,3,2,3,3,3,2,2,0,2
219,Cybersecurity Manager,0,3,2,2,3,2,3,0,3,3,3,3,3,3,2,3,3,3,2,3,0,3,3,3,3,2,3,2,3,2,2,2,2,2,3,2,3,2,0,0,2,2,2,3,2,2,3,2
220,Cloud Security Engineer,2,3,2,3,3,2,3,3,2,2,2,3,0,2,0,3,3,3,3,3,3,2,2,2,2,2,3,2,2,2,0,3,3,3,3,3,0,3,2,2,0,3,2,3,2,3,3,2
221,Frontend Development Manager,2,3,2,0,2,3,0,2,3,3,3,3,2,2,2,2,3,2,3,3,3,2,2,3,3,3,0,2,2,2,3,3,3,0,3,3,2,2,0,3,3,2,3,3,2,3,3,2
222,Engineering Director,3,3,2,2,0,3,3,0,2,2,3,3,3,3,0,3,3,2,2,0,2,2,3,2,0,3,2,2,2,3,3,3,3,2,2,3,3,3,3,2,3,2,2,2,2,2,2,2
223,Technical Support Engineer,2,3,2,3,2,3,0,2,3,0,3,2,2,2,0,3,3,3,2,2,3,2,2,3,2,2,0,0,3,2,3,2,3,3,2,2,3,2,3,3,2,3,3,2,2,3,2,2
224,Computer Vision Engineer,0,2,2,0,2,0,2,3,3,2,3,2,3,2,3,3,3,2,2,2,2,3,0,3,2,2,0,2,3,2,3,2,2,3,3,2,2,3,2,2,2,3,3,3,3,3,2,3
225,AI Product Manager,0,2,2,3,3,0,2,3,2,3,2,0,2,3,3,3,3,0,2,2,2,2,2,2,3,2,3,2,3,3,2,2,2,0,3,2,2,3,3,2,2,3,2,3,3,3,2,2
226,Backend Development Lead,3,3,3,3,3,3,2,2,3,0,2,2,2,3,3,3,3,3,0,3,2,0,0,3,3,3,2,2,3,2,3,2,3,3,3,2,2,2,3,2,3,2,3,3,3,0,3,3
227,ETL Developer,2,2,2,0,2,3,3,3,3,2,3,3,3,2,3,3,3,3,3,0,0,3,3,2,3,0,3,2,2,3,2,2,2,2,2,0,3,3,3,2,2,3,3,3,2,2,2,2
228,Chief Technology Officer (CTO),2,0,0,0,3,2,3,3,2,3,3,2,2,2,2,2,3,0,3,2,3,3,3,2,3,2,3,2,0,3,2,3,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3
229,QA Lead,2,3,2,3,3,2,3,0,3,3,3,3,2,2,2,0,3,2,2,3,3,3,2,2,2,2,3,3,0,2,3,3,2,2,3,2,0,2,3,3,2,2,3,0,3,2,2,2
230,Cybersecurity Analyst,2,0,3,0,3,0,3,3,2,2,3,2,3,2,3,3,3,3,2,2,0,0,3,2,3,3,2,3,2,3,3,2,3,2,2,3,3,3,2,2,3,3,3,3,2,2,3,2
231,Enterprise Architect,3,2,2,2,0,3,2,0,3,2,2,3,3,2,2,3,3,0,3,3,3,2,3,2,2,3,3,2,2,3,3,2,3,0,3,2,3,2,2,2,2,3,2,3,3,3,3,0
232,Data Architect,3,2,2,3,2,2,3,2,0,0,3,3,2,2,3,2,3,3,3,2,2,3,3,3,3,2,3,0,2,3,3,3,3,2,2,3,2,3,2,2,2,2,3,2,0,2,3,0
233,Data Analyst,3,2,0,2,3,3,2,2,2,0,2,3,3,2,3,2,3,2,3,2,2,2,2,2,3,3,0,2,3,2,0,3,3,3,3,2,2,3,2,3,3,2,3,2,2,2,2,0
234,Quality Assurance Engineer,2,3,3,0,0,3,3,2,3,2,0,3,2,2,0,3,3,2,2,3,3,2,3,2,3,3,3,3,3,3,3,0,3,2,3,2,2,3,2,2,2,2,2,3,3,3,2,3
235,Technical Support Engineer,3,2,3,3,2,2,0,2,3,0,2,2,2,2,0,3,3,3,2,2,3,2,2,2,2,3,0,0,2,2,3,2,3,2,3,3,2,3,2,2,3,2,2,2,3,3,3,3
236,AI Engineering Manager,0,3,3,2,2,2,3,2,0,2,0,3,3,2,3,3,3,3,2,2,2,3,2,0,3,3,3,3,3,3,0,2,2,3,3,3,3,3,3,2,2,3,2,2,3,3,3,3
237,AI Engineer,2,2,0,3,2,3,2,3,3,3,2,3,3,2,3,0,3,3,3,3,2,3,2,2,2,2,3,0,3,3,2,3,3,3,3,2,3,2,3,2,2,0,3,2,3,3,0,3
238,UI Developer,3,3,2,2,3,3,3,2,3,3,2,2,3,3,3,0,3,0,2,3,3,0,2,3,3,0,2,3,0,2,3,3,2,3,3,3,3,3,2,2,3,2,3,3,2,3,3,2
239,Data Architect,3,2,3,3,3,2,3,2,0,0,2,2,2,3,3,3,3,3,3,3,3,3,3,2,2,3,3,0,2,2,3,2,2,3,2,3,2,3,3,2,3,3,3,3,0,2,2,0
240,AI Product Manager,0,3,2,2,3,0,3,3,3,2,2,0,2,2,3,3,3,0,3,2,3,2,3,3,3,3,3,2,3,2,2,3,3,0,2,3,3,3,3,2,3,2,2,3,3,3,3,3
241,Software Development Director,2,3,2,2,3,3,3,3,2,0,2,2,0,3,2,0,3,3,3,3,3,3,3,3,0,3,3,0,3,3,2,2,2,2,2,2,2,2,2,3,2,2,3,3,3,3,3,2
242,Frontend Architect,3,2,3,3,3,3,3,0,0,3,2,3,0,3,2,0,3,2,2,2,3,3,2,3,3,3,3,0,3,2,3,3,3,2,3,3,2,2,2,3,3,2,2,3,3,3,2,3
243,Game Developer,0,3,3,0,2,3,3,3,0,2,3,2,2,2,2,2,3,2,3,3,3,2,2,3,3,2,3,0,3,2,2,3,3,2,3,2,2,2,2,3,3,2,2,2,3,2,3,0
244,IT Manager,2,3,2,0,2,3,3,3,2,3,2,2,3,0,3,3,3,0,2,2,3,3,2,2,3,3,2,2,3,3,2,3,2,0,3,3,2,2,3,2,3,2,3,0,2,2,2,3
245,MERN Developer,3,3,2,3,3,2,3,3,3,0,2,3,2,3,2,3,3,2,3,3,2,2,2,2,2,2,3,3,2,0,3,3,2,2,3,3,3,3,2,3,3,2,0,3,2,0,2,0
246,Web Developer,3,2,0,2,2,2,0,2,2,3,3,0,3,3,0,2,3,2,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,2,3,2,3,3,0,3,2
247,Frontend Engineer,3,3,2,3,2,2,3,2,0,3,3,3,2,2,2,3,3,3,0,2,3,3,3,2,3,2,3,3,3,0,0,0,3,3,3,3,2,2,2,2,2,2,2,2,3,3,2,3
248,Big Data Engineer,0,0,3,3,3,3,3,3,2,3,3,3,2,3,2,3,3,3,3,3,3,3,2,0,2,3,2,2,2,2,0,3,3,2,3,2,0,2,3,3,2,3,2,2,2,3,3,3
249,Enterprise Architect,3,3,3,3,0,2,2,0,3,3,3,3,2,3,2,2,3,0,3,2,3,2,3,2,2,2,3,3,2,2,3,2,2,0,2,3,3,3,3,2,3,2,2,3,3,3,2,0
250,Network Security Engineer,3,0,3,2,2,2,2,0,2,2,3,0,3,3,3,2,3,3,3,3,2,2,2,2,3,2,2,0,3,3,3,3,2,3,3,2,0,2,2,2,2,3,2,2,3,3,3,2
251,UI Architect,3,3,3,2,2,2,3,3,2,3,2,2,0,3,2,0,3,0,3,3,3,2,2,2,3,0,2,2,2,2,2,0,2,3,2,3,3,2,3,3,3,2,2,3,2,2,3,3
252,Data Architect,2,3,2,3,3,3,3,2,0,0,2,2,3,2,3,3,3,3,3,2,2,3,3,2,3,3,3,0,3,3,3,3,2,2,3,3,3,2,3,3,2,3,3,3,0,3,3,0
253,Machine Learning Engineer,2,2,3,0,3,0,3,3,3,3,2,3,3,3,3,3,3,0,2,2,2,2,3,3,0,2,2,2,2,3,3,3,2,3,3,3,3,3,2,2,3,0,2,2,3,2,3,2
254,AI Product Manager,0,3,3,3,2,0,3,3,2,3,2,0,3,3,3,3,3,0,3,3,3,2,3,3,2,3,2,3,3,2,2,3,2,0,3,3,3,3,2,2,3,2,3,2,3,2,3,3
255,Full Stack Developer,2,3,3,2,3,3,3,2,0,3,3,0,3,3,2,3,3,3,0,3,3,2,3,0,3,2,3,3,3,3,2,3,3,3,0,3,3,3,2,3,3,3,3,2,3,3,3,3
